 ROUTE_INDEX, ADDRESS, TIME_1, TIME_2,TIME_3, DATETIME, DESTINY
 1,192.168.0.1,4.495 ms,3.001 ms,2.807 ms,2020/09/28T13:19:55,www.ufrj.br
 2,b123c401.virtua.com.br (177.35.196.1),55.156 ms,25.090 ms,20.885 ms,2020/09/28T13:19:55,www.ufrj.br
 3,bd07605a.virtua.com.br (189.7.96.90),13.992 ms,20.224 ms,12.134 ms,2020/09/28T13:19:55,www.ufrj.br
 4,embratel-t0-1-0-1-4003-uacc04.cas.embratel.net.br (200.213.44.9),26.896 ms,20.590 ms,23.886 ms,2020/09/28T13:19:55,www.ufrj.br
 5,ebt-h0-7-0-3-tcore01.cas.embratel.net.br (200.244.213.103),34.161 ms,31.245 ms,32.159 ms,2020/09/28T13:19:55,www.ufrj.br
 6,ebt-b1191-tcore01.spo.embratel.net.br (200.230.252.130),43.860 ms,30.608 ms,34.983 ms,2020/09/28T13:19:55,www.ufrj.br
 7,ebt-b2111-tcore01.rjo.embratel.net.br (200.230.251.1),32.951 ms,30.463 ms,39.814 ms,2020/09/28T13:19:55,www.ufrj.br
 8,ebt-h0-1-0-1-agg03.rjo.embratel.net.br (200.244.18.10),35.142 ms,27.796 ms,29.923 ms,2020/09/28T13:19:55,www.ufrj.br
 9,ebt-h0-12-0-1-agg04.rjo.embratel.net.br (200.244.18.45),28.158 ms,34.215 ms,30.273 ms,2020/09/28T13:19:55,www.ufrj.br
10,peer-b54-988-agg04.rjo.embratel.net.br (200.211.219.218),31.830 ms,30.719 ms,29.551 ms,2020/09/28T13:19:55,www.ufrj.br
12,200.20.96.4,30.601 ms,31.132 ms,34.599 ms,2020/09/28T13:19:55,www.ufrj.br
13,200.20.96.20,30.074 ms,30.474 ms,29.325 ms,2020/09/28T13:19:55,www.ufrj.br
14,200.20.96.26,36.630 ms,34.124 ms,36.536 ms,2020/09/28T13:19:55,www.ufrj.br
15,200.20.96.11,31.192 ms,33.227 ms,39.431 ms,2020/09/28T13:19:55,www.ufrj.br
16,200.20.96.13,37.724 ms,40.075 ms,38.760 ms,2020/09/28T13:19:55,www.ufrj.br
17,200.20.96.15,28.534 ms,29.744 ms,35.769 ms,2020/09/28T13:19:55,www.ufrj.br
18,200.20.96.17,39.865 ms,38.022 ms,38.853 ms,2020/09/28T13:19:55,www.ufrj.br
22,146.164.209.131,39.065 ms,31.589 ms,39.203 ms,2020/09/28T13:19:55,www.ufrj.br
23,146.164.209.131,31.710 ms,,40.836 ms,2020/09/28T13:19:55,www.ufrj.br
 1,192.168.0.1,3.341 ms,5.096 ms,2.525 ms,2020/09/28T13:26:20,www.ufrj.br
 2,b123c401.virtua.com.br (177.35.196.1),34.099 ms,24.028 ms,14.028 ms,2020/09/28T13:26:20,www.ufrj.br
 3,bd07605a.virtua.com.br (189.7.96.90),19.009 ms,18.350 ms,15.211 ms,2020/09/28T13:26:20,www.ufrj.br
 4,embratel-t0-1-0-1-4003-uacc04.cas.embratel.net.br (200.213.44.9),26.038 ms,23.527 ms,31.318 ms,2020/09/28T13:26:20,www.ufrj.br
 5,ebt-h0-7-0-3-tcore01.cas.embratel.net.br (200.244.213.103),51.291 ms,38.218 ms,40.053 ms,2020/09/28T13:26:20,www.ufrj.br
 6,ebt-b1191-tcore01.spo.embratel.net.br (200.230.252.130),44.282 ms,39.121 ms,40.160 ms,2020/09/28T13:26:20,www.ufrj.br
 7,ebt-b2111-tcore01.rjo.embratel.net.br (200.230.251.1),33.074 ms,40.354 ms,33.354 ms,2020/09/28T13:26:20,www.ufrj.br
 8,ebt-b10-tcore01.rjoen.embratel.net.br (200.230.252.157),39.855 ms,42.222 ms,32.675 ms,2020/09/28T13:26:20,www.ufrj.br
 9,ebt-h0-1-0-0-agg04.rjo.embratel.net.br (200.244.18.22),36.517 ms,39.958 ms,33.808 ms,2020/09/28T13:26:20,www.ufrj.br
10,peer-b54-988-agg04.rjo.embratel.net.br (200.211.219.218),38.923 ms,34.478 ms,34.099 ms,2020/09/28T13:26:20,www.ufrj.br
12,200.20.96.4,30.018 ms,39.249 ms,36.744 ms,2020/09/28T13:26:20,www.ufrj.br
13,200.20.96.20,35.188 ms,30.713 ms,36.022 ms,2020/09/28T13:26:20,www.ufrj.br
14,200.20.96.26,39.031 ms,35.083 ms,43.432 ms,2020/09/28T13:26:20,www.ufrj.br
15,200.20.96.11,35.151 ms,37.395 ms,38.118 ms,2020/09/28T13:26:20,www.ufrj.br
16,200.20.96.13,36.183 ms,33.260 ms,31.818 ms,2020/09/28T13:26:20,www.ufrj.br
17,200.20.96.15,35.887 ms,33.254 ms,29.569 ms,2020/09/28T13:26:20,www.ufrj.br
